parliament_year,chair_id,start,end,person_id
1973,d525cf98050b41bcad247a43873b85aa,1973-10-16,1973-12-15,i-BZDMLaDZjTMLecbbyhYS3t
1973,03441af75aec466295abbc822a04d3c6,1973-01-10,1973-06-06,i-Ba5pk2rGL4rDrzoirW3mNb
1973,03441af75aec466295abbc822a04d3c6,1973-10-16,1973-12-15,i-Ba5pk2rGL4rDrzoirW3mNb
1973,242ca18a019e45f6b96d1bac16bfe078,1973-01-10,1973-06-06,i-BbKFhjo9kAo4oaRua8qzJo
1973,242ca18a019e45f6b96d1bac16bfe078,1973-10-16,1973-12-15,i-BbKFhjo9kAo4oaRua8qzJo
1973,c26e9d6a8fae4798acf801a736006d6b,1973-01-10,1973-06-06,i-BiXbgRR8YzdywCma6BzTez
1973,c26e9d6a8fae4798acf801a736006d6b,1973-10-16,1973-12-15,i-BiXbgRR8YzdywCma6BzTez
1973,182321da09cb4ffd9bdd7bd658f5a292,1973-01-10,1973-06-06,i-BjNiod8wotUabh41ByfhRU
1973,182321da09cb4ffd9bdd7bd658f5a292,1973-10-16,1973-12-15,i-BjNiod8wotUabh41ByfhRU
1973,7cd084fd231b4ca79c043a01a35795dd,1973-01-10,1973-06-06,i-Bmxu9K3yS89dSP1etG4TRJ
1973,7cd084fd231b4ca79c043a01a35795dd,1973-10-16,1973-12-15,i-Bmxu9K3yS89dSP1etG4TRJ
1973,faf274f72c874b0bb46f4e701b0a0451,1973-01-10,1973-06-06,i-BtQ4ubBXfEg4xPiwpPM4Vt
1973,faf274f72c874b0bb46f4e701b0a0451,1973-10-16,1973-12-15,i-BtQ4ubBXfEg4xPiwpPM4Vt
1973,8a86d549e3a84e16ba7491243b81c4df,1973-01-10,1973-06-06,i-BtszRKWKgFfiTcr2r2Ek6j
1973,8a86d549e3a84e16ba7491243b81c4df,1973-10-16,1973-12-15,i-BtszRKWKgFfiTcr2r2Ek6j
1973,a3192dd6a8394aaa8e217905fc1d7744,1973-01-10,1973-06-06,i-Bx9fbNBh4ybH7H2kWavRdb
1973,a3192dd6a8394aaa8e217905fc1d7744,1973-10-16,1973-12-15,i-Bx9fbNBh4ybH7H2kWavRdb
1973,e9d77450acb141c1b5d1454b726dc81e,1973-01-10,1973-06-06,i-BzYgGpLotxmsWDEnHPnKgu
1973,e9d77450acb141c1b5d1454b726dc81e,1973-10-16,1973-12-15,i-BzYgGpLotxmsWDEnHPnKgu
